name,reported_media,harmonized_media
ices_biota,lepidorhombus whiffiagonis,wildlife (fish)
ices_biota,leucoraja naevus,wildlife (fish)
ices_biota,limanda limanda,wildlife (fish)
ices_biota,lophius budegassa,wildlife (fish)
ices_biota,lophius piscatorius,wildlife (fish)
ices_biota,mallotus villosus,wildlife (fish)
ices_biota,melanogrammus aeglefinus,wildlife (fish)
ices_biota,merlangius merlangus,wildlife (fish)
ices_biota,merluccius merluccius,wildlife (fish)
ices_biota,micromesistius poutassou,wildlife (fish)
ices_biota,microstomus kitt,wildlife (fish)
ices_biota,molva dypterygia,wildlife (fish)
ices_biota,molva molva,wildlife (fish)
ices_biota,mullus barbatus,wildlife (fish)
ices_biota,myoxocephalus scorpius,wildlife (fish)
ices_biota,pegusa lascaris,wildlife (fish)
ices_biota,perca fluviatilis,wildlife (fish)
ices_biota,platichthys flesus,wildlife (fish)
ices_biota,pleuronectes platessa,wildlife (fish)
ices_biota,pollachius pollachius,wildlife (fish)
ices_biota,pollachius virens,wildlife (fish)
ices_biota,psetta maxima,wildlife (fish)
ices_biota,raja brachyura,wildlife (fish)
ices_biota,raja clavata,wildlife (fish)
ices_biota,raja montagui,wildlife (fish)
ices_biota,raja radiata,wildlife (fish)
ices_biota,reinhardtius hippoglossoides,wildlife (fish)
ices_biota,salmo salar,wildlife (fish)
ices_biota,salmo trutta,wildlife (fish)
ices_biota,salvelinus alpinus,wildlife (fish)
ices_biota,sardina pilchardus,wildlife (fish)
ices_biota,scomber scombrus,wildlife (fish)
ices_biota,scophthalmus rhombus,wildlife (fish)
ices_biota,scyliorhinus canicula,wildlife (fish)
ices_biota,sebastes marinus,wildlife (fish)
ices_biota,sebastes mentella,wildlife (fish)
ices_biota,solea solea,wildlife (fish)
ices_biota,solea vulgaris,wildlife (fish)
ices_biota,sprattus sprattus,wildlife (fish)
ices_biota,squalus acanthias,wildlife (fish)
ices_biota,thunnus alalunga,wildlife (fish)
ices_biota,trigla lucerna,wildlife (fish)
ices_biota,triglidae,wildlife (fish)
ices_biota,zeus faber,wildlife (fish)
ices_biota,zoarces viviparus,wildlife (fish)
ip_chem_biota,limanda limanda,wildlife (fish)
ip_chem_biota,pleuronectes platessa,wildlife (fish)
ip_chem_biota,mullus barbatus,wildlife (fish)
ip_chem_biota,perca fluviatilis,wildlife (fish)
ip_chem_biota,clupea harengus,wildlife (fish)
ip_chem_biota,clupea harengus,wildlife (fish)
ip_chem_biota,gadus morhua,wildlife (fish)
ip_chem_biota,perca fluviatilis,wildlife (fish)
ip_chem_biota,boops boops,wildlife (fish)
ip_chem_biota,platichthys flesus,wildlife (fish)
ip_chem_biota,zoarces viviparus,wildlife (fish)
ip_chem_biota,neogobius melanostomus,wildlife (fish)
ip_chem_biota,merluccius merluccius,wildlife (fish)
ip_chem_biota,merlangius merlangus,wildlife (fish)
ip_chem_biota,microstomus kitt,wildlife (fish)
ip_chem_biota,melanogrammus aeglefinus,wildlife (fish)
ip_chem_biota,aphanopus carbo,wildlife (fish)
ip_chem_biota,coryphaenoides rupestris,wildlife (fish)
ip_chem_biota,molva dypterygia,wildlife (fish)
ip_chem_biota,anguilla anguilla,wildlife (fish)
ip_chem_biota,lepidorhombus whiffiagonis,wildlife (fish)
ip_chem_biota,lophius piscatorius,wildlife (fish)
ip_chem_biota,brosme brosme,wildlife (fish)
ip_chem_biota,solea vulgaris,wildlife (fish)
ip_chem_biota,myoxocephalus scorpius,wildlife (fish)
ip_chem_biota,mallotus villosus,wildlife (fish)
ip_chem_biota,boreogadus saida,wildlife (fish)
ip_chem_biota,sprattus sprattus,wildlife (fish)
ip_chem_biota,hippoglossoides platessoides,wildlife (fish)
ip_chem_biota,molva molva,wildlife (fish)
ip_chem_biota,salvelinus alpinus,wildlife (fish)
ip_chem_biota,scomber scombrus,wildlife (fish)
ip_chem_biota,leucoraja naevus,wildlife (fish)
ip_chem_biota,pollachius pollachius,wildlife (fish)
ip_chem_biota,zeus faber,wildlife (fish)
ip_chem_biota,scophthalmus rhombus,wildlife (fish)
ip_chem_biota,lophius budegassa,wildlife (fish)
ip_chem_biota,solea solea,wildlife (fish)
ip_chem_biota,thunnus alalunga,wildlife (fish)
ip_chem_biota,conger conger,wildlife (fish)
ip_chem_biota,raja clavata,wildlife (fish)
ip_chem_biota,raja naevus,wildlife (fish)
ip_chem_biota,sebastes mentella,wildlife (fish)
ip_chem_biota,chimaera monstrosa,wildlife (fish)
ip_chem_biota,pollachius virens,wildlife (fish)
ip_chem_biota,eutrigla gurnardus,wildlife (fish)
ip_chem_biota,psetta maxima,wildlife (fish)
ip_chem_biota,bathysaurus ferox,wildlife (fish)
ip_chem_biota,scyliorhinus canicula,wildlife (fish)
ip_chem_biota,squalus acanthias,wildlife (fish)
ip_chem_biota,hoplostethus atlanticus,wildlife (fish)
ip_chem_biota,anarhichas lupus,wildlife (fish)
ip_chem_biota,raja montagui,wildlife (fish)
ip_chem_biota,micromesistius poutassou,wildlife (fish)
ip_chem_biota,sebastes marinus,wildlife (fish)
ip_chem_biota,salmo trutta,wildlife (fish)
ip_chem_biota,glyptocephalus cynoglossus,wildlife (fish)
ip_chem_biota,chelidonichthys kumu,wildlife (fish)
ip_chem_biota,reinhardtius hippoglossoides,wildlife (fish)
ip_chem_biota,raja brachyura,wildlife (fish)
ip_chem_biota,salmo salar,wildlife (fish)
ip_chem_biota,gobius,wildlife (fish)
ip_chem_biota,triglidae,wildlife (fish)
ip_chem_biota,anarhichas minor,wildlife (fish)
ip_chem_biota,thunnus thynnus,wildlife (fish)
ip_chem_biota,sardina pilchardus,wildlife (fish)
ip_chem_biota,pegusa lascaris,wildlife (fish)
ip_chem_biota,gadus ogac,wildlife (fish)
ip_chem_biota,raja radiata,wildlife (fish)
ctd,tilapia,wildlife (fish)
ctd,tuna,wildlife (fish)
ctd,salmon,wildlife (fish)
ctd,catfish,wildlife (fish)
ctd,mahi mahi,wildlife (fish)
ctd,herring,wildlife (fish)
ctd,sardine,wildlife (fish)
ctd,trout,wildlife (fish)
ctd,"catfish fillet, farm",wildlife (fish)
ctd,halibut,wildlife (fish)
ctd,"perch, wild",wildlife (fish)
ctd,shark,wildlife (fish)
ctd,anchovy,wildlife (fish)
ctd,bluefish,wildlife (fish)
ctd,carp,wildlife (fish)
ctd,clam,wildlife (fish)
ctd,cod,wildlife (fish)
ctd,crab,wildlife (fish)
ctd,croaker,wildlife (fish)
ctd,flounder,wildlife (fish)
ctd,"bass, sea",wildlife (fish)
ctd,grouper,wildlife (fish)
ctd,haddock,wildlife (fish)
ctd,hake,wildlife (fish)
ctd,"mackerel, king",wildlife (fish)
ctd,lobster,wildlife (fish)
ctd,mackerel,wildlife (fish)
ctd,marlin,wildlife (fish)
ctd,monkfish,wildlife (fish)
ctd,mussel,wildlife (fish)
ctd,ocean perch,wildlife (fish)
ctd,orange roughy,wildlife (fish)
ctd,perch,wildlife (fish)
ctd,"perch, freshwater",wildlife (fish)
ctd,pike,wildlife (fish)
ctd,plaice,wildlife (fish)
ctd,pollock,wildlife (fish)
ctd,porgy,wildlife (fish)
ctd,red snapper,wildlife (fish)
ctd,rockfish,wildlife (fish)
ctd,sablefish,wildlife (fish)
ctd,"salmon, fresh",wildlife (fish)
ctd,scorpionfish,wildlife (fish)
ctd,sea bass,wildlife (fish)
ctd,sea trout,wildlife (fish)
ctd,shad,wildlife (fish)
ctd,sheepshead,wildlife (fish)
ctd,skate,wildlife (fish)
ctd,snapper,wildlife (fish)
ctd,sole,wildlife (fish)
ctd,swordfish,wildlife (fish)
ctd,tilefish,wildlife (fish)
ctd,"tuna, fresh and frozen",wildlife (fish)
ctd,walleye,wildlife (fish)
ctd,whitefish,wildlife (fish)
ctd,bass,wildlife (fish)
ctd,bluegill,wildlife (fish)
ctd,bowfin,wildlife (fish)
ctd,crappie,wildlife (fish)
ctd,drum,wildlife (fish)
ctd,n pike,wildlife (fish)
ctd,sucker,wildlife (fish)
ctd,sunfish,wildlife (fish)
ctd,"salmon fillet, farm",wildlife (fish)
chem_theatre,invertebrates,wildlife (terrestrial invertebrates/worms)
usgs_tissue,abaria quatila,wildlife (terrestrial invertebrates/worms)
usgs_tissue,acroneuria,wildlife (terrestrial invertebrates/worms)
usgs_tissue,aeshnidae,wildlife (terrestrial invertebrates/worms)
usgs_tissue,anisoptera,wildlife (terrestrial invertebrates/worms)
usgs_tissue,arctopsyche,wildlife (terrestrial invertebrates/worms)
usgs_tissue,atherix,wildlife (terrestrial invertebrates/worms)
usgs_tissue,baetidae,wildlife (terrestrial invertebrates/worms)
usgs_tissue,baetis,wildlife (terrestrial invertebrates/worms)
usgs_tissue,brachycentridae,wildlife (terrestrial invertebrates/worms)
usgs_tissue,brachycentrus,wildlife (terrestrial invertebrates/worms)
usgs_tissue,calopterygidae,wildlife (terrestrial invertebrates/worms)
usgs_tissue,cheumatopsyche,wildlife (terrestrial invertebrates/worms)
usgs_tissue,chironomidae,wildlife (terrestrial invertebrates/worms)
usgs_tissue,chironomus,wildlife (terrestrial invertebrates/worms)
usgs_tissue,ephemerella,wildlife (terrestrial invertebrates/worms)
usgs_tissue,ephemeroptera,wildlife (terrestrial invertebrates/worms)
usgs_tissue,gammaridae,wildlife (terrestrial invertebrates/worms)
usgs_tissue,gammaridea,wildlife (terrestrial invertebrates/worms)
usgs_tissue,glossosoma,wildlife (terrestrial invertebrates/worms)
usgs_tissue,gomphidae,wildlife (terrestrial invertebrates/worms)
usgs_tissue,heptageniidae,wildlife (terrestrial invertebrates/worms)
usgs_tissue,hexatoma,wildlife (terrestrial invertebrates/worms)
usgs_tissue,hydropsyche,wildlife (terrestrial invertebrates/worms)
usgs_tissue,hydropsychidae,wildlife (terrestrial invertebrates/worms)
usgs_tissue,lepidostoma,wildlife (terrestrial invertebrates/worms)
usgs_tissue,leptophlebiidae,wildlife (terrestrial invertebrates/worms)
usgs_tissue,libellulidae,wildlife (terrestrial invertebrates/worms)
usgs_tissue,limnephilidae,wildlife (terrestrial invertebrates/worms)
usgs_tissue,limnephilini,wildlife (terrestrial invertebrates/worms)
usgs_tissue,megaloptera,wildlife (terrestrial invertebrates/worms)
usgs_tissue,odonata,wildlife (terrestrial invertebrates/worms)
usgs_tissue,perlidae,wildlife (terrestrial invertebrates/worms)
usgs_tissue,phryganeidae,wildlife (terrestrial invertebrates/worms)
usgs_tissue,plecoptera,wildlife (terrestrial invertebrates/worms)
usgs_tissue,pleurobema sintoxia,wildlife (terrestrial invertebrates/worms)
usgs_tissue,stenophylacini,wildlife (terrestrial invertebrates/worms)
usgs_tissue,tanypodinae,wildlife (terrestrial invertebrates/worms)
usgs_tissue,tipula,wildlife (terrestrial invertebrates/worms)
usgs_tissue,tipulidae,wildlife (terrestrial invertebrates/worms)
usgs_tissue,zygoptera,wildlife (terrestrial invertebrates/worms)
chem_theatre,reptiles,wildlife (terrestrial vertebrates)
ices_biota,lepus timidus,wildlife (terrestrial vertebrates)
ices_biota,ovis aries,wildlife (terrestrial vertebrates)
ices_biota,ursus maritimus,wildlife (terrestrial vertebrates)
epa_nrp,animal-calf-bob veal,wildlife (terrestrial vertebrates)
epa_nrp,animal-calf-formula-fed veal,wildlife (terrestrial vertebrates)
epa_nrp,animal-calf-heavy calf,wildlife (terrestrial vertebrates)
epa_nrp,animal-calf-non formula-fed veal,wildlife (terrestrial vertebrates)
epa_nrp,animal-cattle-beef cow,wildlife (terrestrial vertebrates)
epa_nrp,animal-cattle-bull,wildlife (terrestrial vertebrates)
epa_nrp,animal-cattle-dairy cow,wildlife (terrestrial vertebrates)
epa_nrp,animal-cattle-heifer,wildlife (terrestrial vertebrates)
epa_nrp,animal-cattle-steer,wildlife (terrestrial vertebrates)
epa_nrp,animal-cattle-steer/heifer carcass sponge,wildlife (terrestrial vertebrates)
epa_nrp,animal-goat,wildlife (terrestrial vertebrates)
epa_nrp,animal-goat,wildlife (terrestrial vertebrates)
epa_nrp,animal-sheep-lamb,wildlife (terrestrial vertebrates)
epa_nrp,animal-sheep-mature sheep,wildlife (terrestrial vertebrates)
epa_nrp,animal-swine-boar/stag swine,wildlife (terrestrial vertebrates)
epa_nrp,animal-swine-market swine,wildlife (terrestrial vertebrates)
epa_nrp,animal-swine-market swine,wildlife (terrestrial vertebrates)
epa_nrp,animal-swine-roaster swine,wildlife (terrestrial vertebrates)
epa_nrp,animal-swine-sow,wildlife (terrestrial vertebrates)
ip_chem_biota,lepus timidus,wildlife (terrestrial vertebrates)
ip_chem_biota,ovis aries,wildlife (terrestrial vertebrates)
ip_chem_biota,ursus maritimus,wildlife (terrestrial vertebrates)
