mediaid,name,harmonized_media,reported_media,reported_species
1770,usgs,wildlife (aquatic invertebrate),unknown,saxidomus giganteus***retired***use saxidomus gigantea
1654,usgs,wildlife (aquatic invertebrate),water,"oligochaeta***retired***use oligochaeta (clitellata), oligochaeta (oligochaeta)"
1743,usgs,wildlife (aquatic invertebrate),water,"turbellaria***retired***use catenulida (platyhelminthes), acoelomorpha, rhabditophora"
1931,usgs,wildlife (aquatic invertebrate),water,"hirudinea***retired***use hirudinea (clitellata), hirudinea (hirudinea)"
1471,epa_nscrlft,wildlife (fish),fish tissue,NA
699,ices_biota,wildlife (fish),tissue,neogobius melanostomus
701,ices_biota,wildlife (fish),other,neogobius melanostomus
1597,usgs,wildlife (fish),tissue,gila bicolor***retired***use siphateles bicolor
1675,usgs,wildlife (fish),tissue,micropterus dolomieui***retired***use micropterus dolomieu
2063,usgs,wildlife (fish),tissue,chaenobryttus gulosus***retired***use lepomis gulosus
69,usgs,wildlife (terrestrial invertebrates/worms),sediment,"catenulida (platyhelminthes), acoelomorpha, rhabditophora***retired***use (platyhelminthe"
1553,ices_biota,wildlife (fish),blood,gadus morhua
1550,ices_biota,wildlife (birds),fat,fulmarus glacialis
1573,ices_biota,wildlife (birds),fat,larus hyperboreus
1642,ices_biota,wildlife (terrestrial vertebrates),fat,ovis aries
1684,ices_biota,wildlife (birds),fat,rissa tridactyla
1710,ices_biota,wildlife (birds),fat,somateria mollissima
1736,ip_chem_biota,wildlife (fish),li,limanda limanda
1737,ip_chem_biota,wildlife (fish),mu,limanda limanda
1738,ip_chem_biota,wildlife (fish),li,pleuronectes platessa
1739,ip_chem_biota,wildlife (fish),mu,mullus barbatus
1740,ip_chem_biota,wildlife (aquatic invertebrate),wo,mytillus edulis
1742,ip_chem_biota,wildlife (fish),mu,perca fluviatilis
1743,ip_chem_biota,wildlife (aquatic invertebrate),wo,mytilus galloprovincialis
1744,ip_chem_biota,wildlife (fish),mu,clupea harengus
1745,ip_chem_biota,wildlife (fish),mu,gadus morhua
1746,ip_chem_biota,wildlife (fish),li,gadus morhua
1747,ip_chem_biota,wildlife (fish),li,clupea harengus
1748,ip_chem_biota,wildlife (fish),li,perca fluviatilis
1749,ip_chem_biota,wildlife (aquatic invertebrate),wo,saduria entomon
1751,ip_chem_biota,wildlife (fish),mu,boops boops
1752,ip_chem_biota,NA,li,mytilus galloprovincialis
1753,ip_chem_biota,NA,mu,platichthys flesus
1754,ip_chem_biota,NA,li,platichthys flesus
1757,ip_chem_biota,NA,mu,zoarces viviparus
1764,ip_chem_biota,NA,wo,lymnaea palustris
1765,ip_chem_biota,NA,wo,clupea harengus
1766,ip_chem_biota,NA,wo,perca fluviatilis
1767,ip_chem_biota,NA,wo,crassostrea gigas
1769,ip_chem_biota,NA,wo,cerastoderma edule
1770,ip_chem_biota,NA,wo,venerupis philippinarum
1771,ip_chem_biota,NA,wo,venerupis decussata
1772,ip_chem_biota,NA,wo,donax trunculus
1773,ip_chem_biota,NA,wo,ostrea edulis
1776,ip_chem_biota,NA,tm,mytilus edulis
1777,ip_chem_biota,NA,tm,nephrops norvegicus
1778,ip_chem_biota,NA,mu,merluccius merluccius
1780,ip_chem_biota,NA,li,merlangius merlangus
1781,ip_chem_biota,NA,mu,merluccius merluccius
1783,ip_chem_biota,NA,ro,gadus morhua
1784,ip_chem_biota,NA,mu,microstomus kitt
1785,ip_chem_biota,NA,li,microstomus kitt
1786,ip_chem_biota,NA,li,melanogrammus aeglefinus
1787,ip_chem_biota,NA,mu,melanogrammus aeglefinus
1789,ip_chem_biota,NA,go,aphanopus carbo
1790,ip_chem_biota,NA,li,aphanopus carbo
1791,ip_chem_biota,NA,mu,aphanopus carbo
1792,ip_chem_biota,NA,mu,coryphaenoides rupestris
1793,ip_chem_biota,NA,li,coryphaenoides rupestris
1794,ip_chem_biota,NA,mu,molva dypterygia
1795,ip_chem_biota,NA,li,molva dypterygia
1796,ip_chem_biota,NA,wo,fucus vesiculosus
1797,ip_chem_biota,NA,mu,pleuronectes platessa
1799,ip_chem_biota,NA,mu,anguilla anguilla
1800,ip_chem_biota,NA,mu,lepidorhombus whiffiagonis
1801,ip_chem_biota,NA,li,lepidorhombus whiffiagonis
1802,ip_chem_biota,NA,li,merluccius merluccius
